confidence,lyric_title,db_title,db_id,creator_composer,year,first_words,lyric_preview,decision,notes
0.848,"Στο Πασαλιμάνι","Μέσα στο Πασαλιμάνι",4300,"Σκαρβέλης Κώστας","","","Μέσα στο Πασαλιμάνι μια μικρή συνάντησα","",""
0.842,"Κάτω στο Πασαλιμάνι(Γυναικομάνι)","Μέσα στο Πασαλιμάνι",4300,"Σκαρβέλης Κώστας","","","Το βράδυ σαν πυκνώσει","",""
0.839,"Χάθηκα, χάθηκα","Χάθηκα, τρελάθηκα",10547,"Τούντας Παναγιώτης","","","Απελπισμένη αγάπη μου, σκληρά βασανισμένη,","",""
0.837,"Τουρκολιμανιώτισσα γλυκιά","Τουρκολιμανιώτισσα",4905,"Σκαρβέλης Κώστας","","","Απόψε τα μεσάνυχτα μια βάρκα θ’ αρματώσω,","",""
0.833,"Δημητρούλα μου","Δημητρούλα",5051,"Άγνωστος","","","Δημητρούλα μου, θέλω απόψε να μεθύσω","",""
0.833,"Κόρη μάγισσα","Καλή μάγισσα",4690,"Δημητριάδης Τέτος","","","Μάγισσα όταν σε φιλώ","",""
0.828,"Κακούργα μάνα","Κακούργα μάγισσα",4582,"Χ.
[
Βαϊνδιρλής Παναγιώτης
]","","","Πως το βάσταξε η καρδιά σου, κι άφησες βρε τα παιδιά σου","",""
0.828,"Πες μου το ναι","Πες μου ένα ναι",1737,"Κωνσταντινίδης Γρηγόρης","1935","Ήτανε μικρούλα και μελαχρινούλα","Σαν ψάρι τρέμω ο φτωχός όταν βρεθώ μπροστά σου,","",""
0.826,"Γι’ αυτά τα μαύρα μάτια σου","Αυτά τα μαύρα μάτια",4552,"Βούρος Κ.","","","Γι’ αυτά τα μαύρα μάτια σου τα βράδια ξενυχτάω, ","",""
0.824,"Μην περιμένεις άδικα","Μην περιμένεις",1487,"Γιαννίδης Κώστας","1935","Βαρέθηκα τα χάδια σου τα ψεύτικα","Μην περιμένεις άδικα και τον καιρό σου χάνεις,","",""
0.821,"Τα μαγεμένα μάτια σου","Τα μαύρα μάτια σου",9983,"Άγνωστος","","","Τα μαγεμένα μάτια σου","",""
0.818,"Το γελεκακι που φορείς","Το ρολογάκι που φορείς",10569,"Τούντας Παναγιώτης","","","Το γελεκάκι που φορείς","",""
0.815,"Μόρτισσα Σμυρνιά","Μια Σμυρνιά",4417,"Άγνωστος","","","Μόρτισσα τα μάτια σου, τα μαύρα, τα γλυκά,","",""
0.811,"Τρικαλινή τσαχπίνα","Ταταυλιανή τσαχπίνα",4132,"Νταλγκάς
[
Διαμαντίδης
]
Αντώνης","","","Μη μου πληγώνεις σαν και πρώτα την καρδιά","",""
0.810,"Το παράπονο του αλήτη(Αλήτη μ’ είπες μια βραδιά)","Το παράπονο του μάγκα",11117,"Καμβύσης Γιώργος","","","[","",""
0.800,"Αχ τα όμορφά σου μάτια","Τα μαύρα σου μάτια",5187,"[
Falvo Rodolfo
]","","","Αχ τα όμορφά σου μάτια ","",""
0.800,"Γλυκιά μου Έλλη","Γλυκιά μου Μαρινέλλα",10518,"Τούντας Παναγιώτης","","","Η απονιά σου μ’ έκαψε, καμωματού μου Έλλη","",""
0.800,"Καλέ μάνα δεν μπορώ","Σήμερα μάνα δεν μπορώ",4169,"Ανεστόπουλος Γιώργος","","","Καλέ μάνα δεν μπορώ","",""
0.800,"Τα ζηλιάρικα σου μάτια","Τα μαύρα σου μάτια",5187,"[
Falvo Rodolfo
]","","","Τα ζηλιάρικά σου μάτια μ’ έχουνε τρελάνει","",""
0.800,"Ωραία Θεσσαλονικιά","Θεσσαλονικιά",9962,"Ασίκης Γρηγόρης","","","Στα όρη βγαίνει η κάπαρη","",""
0.791,"Η γυναίκα που ψηφίζει","Η γυναίκα που πεθαίνει",5438,"Γλυκοφρύδης Πάνος","","","Ο κόσμος άλλαξε και πάρτε το χαμπάρι","",""
0.786,"Αραπίνες(Νύχτες μαγικές)","Νύχτες γλυκιές",10243,"Μπέζος Κώστας","","","Νύχτες μαγικές, ονειρεμένες,","",""
0.784,"Πες μου γιατί δε μ’ αγαπάς","Πες μου πια πως μ' αγαπάς",1573,"Μαρίνος Τάκης","1949","Δεν θέλω να μου κρύβεις την καρδιά σου","Πες μου γιατί δε μ’ αγαπάς,","",""
0.784,"Χτες το βράδυ στο σκοτάδι","Χθες το βράδυ στου Γκαρίπη",4160,"Άγνωστος","","","Χτες το βράδυ στο σκοτάδι,","",""
0.783,"Αγία νοσταλγία","Νοσταλγία",9496,"[
Sentis José
]","","","Αγία νοσταλγία πέλαγο ανοιχτό ","",""
0.780,"Στης πίκρας τα ξερόνησα","Της πίκρας το νερό",1543,"Λαυράγκας Διονύσιος","","Της πίκρας τ' άπιστο νερό, του χάρου το ποτάμι","Πού να ’βρω τέσσερα σπαθιά,","",""
0.774,"Αλεξανδριανή","Αλεξανδριανή φελάχα",11366,"Σέμσης Δημήτρης","","","Αλεξανδριανή μου γλάστρα, ","",""
0.774,"Μάγες ομορφιές","Γαλάζιες ομορφιές",1796,"Μούρτζινου Κάρμεν","1952","Με το γαλάζιο ουρανό διαμαντοστόλισμα τρανό","Μάγες ομορφιές, φλόγα στις ματιές,","",""
0.774,"Μάγκας βγήκε για σεργιάνι","Η οπερέτα ""Μάγκας βγήκε για συργιάνι""",10940,"","","","Μάγκας βγήκε για σιργιάνι, για να βρει κανά τεκέ.","",""
0.769,"Είμαι πρεζάκιας(Πρέζα όταν πιεις)","Ο πρεζάκιας",11235,"Εϊτζιρίδης Ιωάννης
[
Τσαούς Γιοβάν
]","","","Από το βράδυ ως το πρωί,","",""
0.769,"Κακούργα μου γειτόνισσα","Κακούργα μάγισσα",4582,"Χ.
[
Βαϊνδιρλής Παναγιώτης
]","","","Αγάπησα κι εγώ ο φτωχός μιαν απ’ την γειτονιά μου ","",""
0.769,"Μη με πληγώνεις και πονώ","Μη με πληγώνεις",2003,"Πρέντας Κώστας","1950","Μες στα συντρίμμια των ονείρων μου γυρνούσα","Μη με πληγώνεις και πονώ, μικρούλα μου,","",""
0.766,"Τα παιδιά της γειτονιάς σου(Σαν σουρώνω)","Τα παιδιά της αγοράς",10691,"Χρυσίνης Στέλιος","","","Τα παιδιά της γειτονιάς σου με πειράζουνε","",""
0.765,"Γιατί μικρούλα μου","Για μια μικρούλα",1843,"Ολλανδέζος Σπύρος","1933","Άστρο της αυγής πότε πια θα βγεις","Γιατί μικρούλα μου, γιατί καρδούλα μου, θέλεις να με γκρινιάζεις,","",""
0.765,"Ο Μάρκος μαθητής","Ο Μάρκος Μπότσαρης",5493,"Άγνωστος","","","Μ έστελν’ η μανούλα μου σχολειό μου να πηγαίνω","",""
0.762,"Πες μου καλαματιανή μου","Νησοκαλαματιανή μου",5551,"Χατζηαντωνίου Νικόλαος","","","Πες μου Καλαματιανή μου, τι σου έκανα, μικρή μου","",""
0.762,"Σύρε να πεις στη μάνα σου","Σύρε στη μαμά σου",10598,"Άγνωστος","","","Σύρε να πεις στη μάνα σου","",""
0.759,"Καρδιά παραπονιάρα","Παραπονιάρα",9636,"Τούντας Παναγιώτης","","","Ποια λύπη σε βαραίνει","",""
0.757,"Στου Θωμά το μαγαζί(Έλα απόψε στου Θωμά)","Το μικρό το μαγαζί",2261,"Σπάθης Αλέκος","1960","Το μικρό το μαγαζί που έχει ένα σωρό παιχνίδια","Έλα απόψε στου Θωμά, να σου παίξω μπαγλαμά,","",""
0.756,"Απ’ την πόρτα σου περνώ","Από το σπίτι σου περνώ",2077,"Παπαϊωάννου Ι.","1939","Αναστενάζω και πονώ για σένανε μικρούλα","Απ’ την πόρτα σου περνώ, στέκω και κοιτάζω","",""
0.756,"Το κορίτσι θέλει θάλασσα","Το κορίτσι με τα ράσα",5529,"Περδικόπουλος Δημήτρης","","","Βρε Μανώλη τραμπαρίφα βάλε τη διπλή ταρίφα.","",""
0.750,"Για Μια Ξανθούλα(Τραγούδια Όμορφα Θα Πω)","Για μια μικρούλα",1843,"Ολλανδέζος Σπύρος","1933","Άστρο της αυγής πότε πια θα βγεις","Τραγούδια όμορφα θα πω","",""
0.750,"Γιατί γελάτε(Ο Στραπατσαρισμένος)","Γιατί, γιατί",9844,"Βιτάλης Γιώργος","","","Γιατί γελάτε πού ’μαι στραπατσαρισμένος,","",""
0.750,"Δε θέλω πια την ξενιτιά","Δεν θέλω πια να με κοιτάς",10668,"Σκαρβέλης Κώστας","","","Δε θέλω πια, δε θέλω πια την ξενιτιά,","",""
0.750,"Δε με στεφανώνεις(Τι σε μέλει εσένα κι αν γυρνώ)","Τι σε μέλει εσένανε",4061,"Άγνωστος","","","Τι σε μέλει εσένα κι αν γυρνώ,","",""
0.750,"Μαρίκα Χασικλού","Αλανιάρα χασικλού",10168,"Μιχαηλίδης Μενέλαος","","","Για τα σένα, βρε Μαρίκα, πάλι τον μπελά μου βρήκα,","",""
0.750,"Το γλέντι","Όλοι στο γλέντι",9677,"Βαϊνδιρλής Παναγιώτης","","","Ωχ, αμάν αμάν αμάνι,","",""
0.745,"Σαν απόκληρος γυρίζω(Το παράπονο του ξενιτεμένου)","Το παράπονο του άρρωστου",5321,"Άγνωστος","","","Σαν απόκληρος γυρίζω","",""
0.744,"Δεν τον θέλω μάνα μου","Αν το μάθει η μάνα μου",670,"Ιακωβίδης Ζακ - Βέλλας Γιάννης","1956","Χτες με ξεχτενίσανε τα τρελά σου χάδια","Δεν τόνε θέλω μάνα μου, ότι και να μου κάνεις","",""
0.744,"Έλα στην κάμαρά μου","Έλα μες στην αγκαλιά μου",9650,"Άγνωστος","","","Μ’ αυτά τα γλυκά τα μαχμούρικα μάτια,","",""
0.744,"Έρημος στην ξενιτιά(Είκοσι χρόνια μάνα μου)","Δυο χρόνια μακριά μου",9416,"Μοντανάρης Ιάκωβος","","","Είκοσι χρόνια, μάνα μου,","",""
0.744,"Η γυναίκα μου ζηλεύει(Η γυναίκα μου γκρινιάζει)","Η γυναίκα που πεθαίνει",5438,"Γλυκοφρύδης Πάνος","","","Η γυναίκα μου γκρινιάζει βρε","",""
0.743,"Για σένα μαυρομάτα μου(Ναζιάρα μου Μπομπίνα)","Μαυρομάτα μου",2120,"Σμυρναίος Άκης","1955","Εσύ που σέρνεις το χορό, εσύ που καμαρώνεις","Κάθε βραδάκι τραγουδώ για σένανε τσαχπίνα","",""
0.743,"Ο Μάρκος υπουργός(Όσοι γινούν πρωθυπουργοί)","Ο Μάρκος Μπότσαρης",5493,"Άγνωστος","","","Όσοι γινούν πρωθυπουργοί","",""
0.741,"Για σένα ξενυχτώ","Για σένα ζω",10034,"Ρόδιος Δημήτρης","","","Εγώ για σένα κάθε βράδυ ξενυχτώ,","",""
0.741,"Για σένα υποφέρω(Όταν βγαίνεις στο μπαλκόνι)","Για σένα ζω",10034,"Ρόδιος Δημήτρης","","","Τα δυο μαύρα σου τα μάτια, πως με κάνουνε κομμάτια, ","",""
0.739,"Γλυκοχαράζει ο αυγερινός","Γλυκοχαράζει η χαραυγή",3123,"Μεταγραφή:
Θεοφιλόπουλος Γιώργος","1981","Γλυκοχαράζει η χαραυγή και λάμπει ο ουρανός κι η γη","Γλυκοχαράζει ο αυγερινός κι εγώ ’μαι ακόμα ζωντανός ","",""
0.735,"Ψεύτικος είναι ο ντουνιάς","Ψεύτισε πλέον ο ντουνιάς",10586,"Ρούκουνας Κώστας","","","Ψεύτικος είναι ο ντουνιάς και ψεύτικη η ζωή μας","",""
0.733,"Αθηναίισσα(Πίνω και μαραζώνω)","Πίνω και μεθώ",5536,"Πορτοκάλλης Μηνάς
,
Νταλγκάς
[
Διαμαντίδης
]
Αντώνης","","","Μεσ’ στην Αθήνα ξενυχτώ, για σένα βρε μικρό μου","",""
0.733,"Γιατί δακρύζεις","Γιατί να φύγεις",4876,"Μαρτίνο Άγγελος","","","Για πες μου εσύ που κάθεσαι μονάχος στο τραπέζι,","",""
