lyric_title,matched_db_title,confidence,creator_composer,match_source,decision,notes
Στο Πασαλιμάνι,Μέσα στο Πασαλιμάνι,0.848,Σκαρβέλης Κώστας,main,,
Κάτω στο Πασαλιμάνι(Γυναικομάνι),Μέσα στο Πασαλιμάνι,0.842,Σκαρβέλης Κώστας,main,,
"Χάθηκα, χάθηκα","Χάθηκα, τρελάθηκα",0.839,Τούντας Παναγιώτης,main,,
Τουρκολιμανιώτισσα γλυκιά,Τουρκολιμανιώτισσα,0.837,Σκαρβέλης Κώστας,main,,
Δημητρούλα μου,Δημητρούλα,0.833,Άγνωστος,main,,
Κόρη μάγισσα,Καλή μάγισσα,0.833,Δημητριάδης Τέτος,main,,
Κακούργα μάνα,Κακούργα μάγισσα,0.828,"Χ.
[
Βαϊνδιρλής Παναγιώτης
]",main,,
Πες μου το ναι,Πες μου ένα ναι,0.828,Κωνσταντινίδης Γρηγόρης,main,,
Γι’ αυτά τα μαύρα μάτια σου,Αυτά τα μαύρα μάτια,0.826,Βούρος Κ.,main,,
Μην περιμένεις άδικα,Μην περιμένεις,0.824,Γιαννίδης Κώστας,main,,
Τα μαγεμένα μάτια σου,Τα μαύρα μάτια σου,0.821,Άγνωστος,main,,
Το γελεκακι που φορείς,Το ρολογάκι που φορείς,0.818,Τούντας Παναγιώτης,main,,
Μόρτισσα Σμυρνιά,Μια Σμυρνιά,0.815,Άγνωστος,main,,
Τρικαλινή τσαχπίνα,Ταταυλιανή τσαχπίνα,0.811,"Νταλγκάς
[
Διαμαντίδης
]
Αντώνης",main,,
Το παράπονο του αλήτη(Αλήτη μ’ είπες μια βραδιά),Το παράπονο του μάγκα,0.81,Καμβύσης Γιώργος,main,,
Αχ τα όμορφά σου μάτια,Τα μαύρα σου μάτια,0.8,"[
Falvo Rodolfo
]",main,,
Γλυκιά μου Έλλη,Γλυκιά μου Μαρινέλλα,0.8,Τούντας Παναγιώτης,main,,
Καλέ μάνα δεν μπορώ,Σήμερα μάνα δεν μπορώ,0.8,Ανεστόπουλος Γιώργος,main,,
Τα ζηλιάρικα σου μάτια,Τα μαύρα σου μάτια,0.8,"[
Falvo Rodolfo
]",main,,
Ωραία Θεσσαλονικιά,Θεσσαλονικιά,0.8,Ασίκης Γρηγόρης,main,,
Η γυναίκα που ψηφίζει,Η γυναίκα που πεθαίνει,0.791,Γλυκοφρύδης Πάνος,main,,
Αραπίνες(Νύχτες μαγικές),Νύχτες γλυκιές,0.786,Μπέζος Κώστας,subtitle,,
Πες μου γιατί δε μ’ αγαπάς,Πες μου πια πως μ' αγαπάς,0.784,Μαρίνος Τάκης,main,,
Χτες το βράδυ στο σκοτάδι,Χθες το βράδυ στου Γκαρίπη,0.784,Άγνωστος,main,,
Αγία νοσταλγία,Νοσταλγία,0.783,"[
Sentis José
]",main,,
Στης πίκρας τα ξερόνησα,Της πίκρας το νερό,0.78,Λαυράγκας Διονύσιος,main,,
Αλεξανδριανή,Αλεξανδριανή φελάχα,0.774,Σέμσης Δημήτρης,main,,
Μάγες ομορφιές,Γαλάζιες ομορφιές,0.774,Μούρτζινου Κάρμεν,main,,
Μάγκας βγήκε για σεργιάνι,"Η οπερέτα ""Μάγκας βγήκε για συργιάνι""",0.774,,main,,
Είμαι πρεζάκιας(Πρέζα όταν πιεις),Ο πρεζάκιας,0.769,"Εϊτζιρίδης Ιωάννης
[
Τσαούς Γιοβάν
]",main,,
Κακούργα μου γειτόνισσα,Κακούργα μάγισσα,0.769,"Χ.
[
Βαϊνδιρλής Παναγιώτης
]",main,,
Μη με πληγώνεις και πονώ,Μη με πληγώνεις,0.769,Πρέντας Κώστας,main,,
Τα παιδιά της γειτονιάς σου(Σαν σουρώνω),Τα παιδιά της αγοράς,0.766,Χρυσίνης Στέλιος,main,,
Γιατί μικρούλα μου,Για μια μικρούλα,0.765,Ολλανδέζος Σπύρος,main,,
Ο Μάρκος μαθητής,Ο Μάρκος Μπότσαρης,0.765,Άγνωστος,main,,
Πες μου καλαματιανή μου,Νησοκαλαματιανή μου,0.762,Χατζηαντωνίου Νικόλαος,main,,
Σύρε να πεις στη μάνα σου,Σύρε στη μαμά σου,0.762,Άγνωστος,main,,
Καρδιά παραπονιάρα,Παραπονιάρα,0.759,Τούντας Παναγιώτης,main,,
Στου Θωμά το μαγαζί(Έλα απόψε στου Θωμά),Το μικρό το μαγαζί,0.757,Σπάθης Αλέκος,main,,
Απ’ την πόρτα σου περνώ,Από το σπίτι σου περνώ,0.756,Παπαϊωάννου Ι.,main,,
Το κορίτσι θέλει θάλασσα,Το κορίτσι με τα ράσα,0.756,Περδικόπουλος Δημήτρης,main,,
Για Μια Ξανθούλα(Τραγούδια Όμορφα Θα Πω),Για μια μικρούλα,0.75,Ολλανδέζος Σπύρος,main,,
Γιατί γελάτε(Ο Στραπατσαρισμένος),"Γιατί, γιατί",0.75,Βιτάλης Γιώργος,main,,
Δε θέλω πια την ξενιτιά,Δεν θέλω πια να με κοιτάς,0.75,Σκαρβέλης Κώστας,main,,
Δε με στεφανώνεις(Τι σε μέλει εσένα κι αν γυρνώ),Τι σε μέλει εσένανε,0.75,Άγνωστος,subtitle,,
Μαρίκα Χασικλού,Αλανιάρα χασικλού,0.75,Μιχαηλίδης Μενέλαος,main,,
Το γλέντι,Όλοι στο γλέντι,0.75,Βαϊνδιρλής Παναγιώτης,main,,
Σαν απόκληρος γυρίζω(Το παράπονο του ξενιτεμένου),Το παράπονο του άρρωστου,0.745,Άγνωστος,subtitle,,
Δεν τον θέλω μάνα μου,Αν το μάθει η μάνα μου,0.744,Ιακωβίδης Ζακ - Βέλλας Γιάννης,main,,
Έλα στην κάμαρά μου,Έλα μες στην αγκαλιά μου,0.744,Άγνωστος,main,,
Έρημος στην ξενιτιά(Είκοσι χρόνια μάνα μου),Δυο χρόνια μακριά μου,0.744,Μοντανάρης Ιάκωβος,subtitle,,
Η γυναίκα μου ζηλεύει(Η γυναίκα μου γκρινιάζει),Η γυναίκα που πεθαίνει,0.744,Γλυκοφρύδης Πάνος,main,,
Για σένα μαυρομάτα μου(Ναζιάρα μου Μπομπίνα),Μαυρομάτα μου,0.743,Σμυρναίος Άκης,main,,
Ο Μάρκος υπουργός(Όσοι γινούν πρωθυπουργοί),Ο Μάρκος Μπότσαρης,0.743,Άγνωστος,main,,
Για σένα ξενυχτώ,Για σένα ζω,0.741,Ρόδιος Δημήτρης,main,,
Για σένα υποφέρω(Όταν βγαίνεις στο μπαλκόνι),Για σένα ζω,0.741,Ρόδιος Δημήτρης,main,,
Γλυκοχαράζει ο αυγερινός,Γλυκοχαράζει η χαραυγή,0.739,"Μεταγραφή:
Θεοφιλόπουλος Γιώργος",main,,
Ψεύτικος είναι ο ντουνιάς,Ψεύτισε πλέον ο ντουνιάς,0.735,Ρούκουνας Κώστας,main,,
Αθηναίισσα(Πίνω και μαραζώνω),Πίνω και μεθώ,0.733,"Πορτοκάλλης Μηνάς
,
Νταλγκάς
[
Διαμαντίδης
]
Αντώνης",subtitle,,
Γιατί δακρύζεις,Γιατί να φύγεις,0.733,Μαρτίνο Άγγελος,main,,
Μάγκικο μελαχρινό(Νόστιμο τρελό μικρό μου),Νέο μελαχρινό,0.733,Άγνωστος,main,,
Με μια μονάχα σου ματιά,Τα μαύρα σου μάτια,0.732,"[
Falvo Rodolfo
]",main,,
Ο μαντρατζής(Ο ύμνος των Βοσκών),Ο ύμνος των Παλαιολόγων,0.732,Άγνωστος,subtitle,,
